contributors,text,geo,retweeted,in_reply_to_screen_name,possibly_sensitive,truncated,lang,entities,in_reply_to_status_id_str,id,extended_entities,in_reply_to_user_id_str,source,favorited,in_reply_to_status_id,in_reply_to_user_id,created_at,retweet_count,favorite_count,id_str,place,user,coordinates
null,Obama wants to allow oil drilling off the East Coast ¡ª but limit it in Alaska http://t.co/RbARfPcX8u via @voxdotcom http://t.co/fVfkR38Dmr,null,false,null,false,false,en,"{symbols:[],urls:[{expanded_url:http://ow.ly/I5Atp,indices:[78,100],display_url:ow.ly/I5Atp,url:http://t.co/RbARfPcX8u}],hashtags:[],media:[{id:560457319193280513,sizes:{small:{w:340,h:215,resize:fit},thumb:{w:150,h:150,resize:crop},medium:{w:600,h:379,resize:fit},large:{w:762,h:482,resize:fit}},media_url_https:https://pbs.twimg.com/media/B8ck9l5IgAE-1d-.png,media_url:http://pbs.twimg.com/media/B8ck9l5IgAE-1d-.png,expanded_url:http://twitter.com/ClimateDesk/status/560457319654653952/photo/1,indices:[116,138],id_str:560457319193280513,display_url:pic.twitter.com/fVfkR38Dmr,type:photo,url:http://t.co/fVfkR38Dmr}],user_mentions:[{id:2347049341,name:Vox,indices:[105,115],screen_name:voxdotcom,id_str:2347049341}]}",null,560457319654653952,"{media:[{id:560457319193280513,sizes:{small:{w:340,h:215,resize:fit},thumb:{w:150,h:150,resize:crop},medium:{w:600,h:379,resize:fit},large:{w:762,h:482,resize:fit}},media_url_https:https://pbs.twimg.com/media/B8ck9l5IgAE-1d-.png,media_url:http://pbs.twimg.com/media/B8ck9l5IgAE-1d-.png,expanded_url:http://twitter.com/ClimateDesk/status/560457319654653952/photo/1,indices:[116,138],id_str:560457319193280513,display_url:pic.twitter.com/fVfkR38Dmr,type:photo,url:http://t.co/fVfkR38Dmr}]}",null,<a href="http://www.hootsuite.com" rel="nofollow">Hootsuite</a>,false,null,null,Wed Jan 28 15:20:12 +0000 2015,9,3,560457319654653952,null,"{location:Earth,default_profile:false,statuses_count:10131,profile_background_tile:false,lang:en,profile_link_color:48C6D6,profile_banner_url:https://pbs.twimg.com/profile_banners/120181944/1406137011,id:120181944,following:true,favourites_count:51,profile_location:null,protected:false,profile_text_color:333333,description:A journalistic collaboration dedicated to exploring the impact\u2014human, environmental, economic, political\u2014of a changing climate.,verified:true,contributors_enabled:false,profile_sidebar_border_color:FFFFFF,name:Climate Desk,profile_background_color:006187,created_at:Fri Mar 05 18:22:03 +0000 2010,is_translation_enabled:false,default_profile_image:false,followers_count:70009,geo_enabled:true,profile_image_url_https:https://pbs.twimg.com/profile_images/1909077239/ClimateDesk_bug_500_normal.jpg,profile_background_image_url:http://abs.twimg.com/images/themes/theme1/bg.png,profile_background_image_url_https:https://abs.twimg.com/images/themes/theme1/bg.png,entities:{description:{urls:[]},url:{urls:[{expanded_url:http://www.climatedesk.org,indices:[0,22],display_url:climatedesk.org,url:http://t.co/dB8BpuJE4x}]}},follow_request_sent:false,url:http://t.co/dB8BpuJE4x,utc_offset:-28800,time_zone:Pacific Time (US & Canada),notifications:false,friends_count:726,profile_use_background_image:false,profile_sidebar_fill_color:DDEEF6,screen_name:ClimateDesk,id_str:120181944,profile_image_url:http://pbs.twimg.com/profile_images/1909077239/ClimateDesk_bug_500_normal.jpg,is_translator:false,listed_count:2822}",null
null,There's more global warming coverage on your TV -- here's why that's not always a good thing http://t.co/CWnzIFsg61 http://t.co/R2fGvuTver,null,false,null,false,false,en,"{symbols:[],urls:[{expanded_url:http://ow.ly/I5BIo,indices:[93,115],display_url:ow.ly/I5BIo,url:http://t.co/CWnzIFsg61}],hashtags:[],media:[{id:560468650193584128,sizes:{thumb:{w:150,h:150,resize:crop},small:{w:340,h:225,resize:fit},medium:{w:600,h:398,resize:fit},large:{w:790,h:525,resize:fit}},media_url_https:https://pbs.twimg.com/media/B8cvRJKIAAA-1tq.png,media_url:http://pbs.twimg.com/media/B8cvRJKIAAA-1tq.png,expanded_url:http://twitter.com/ClimateDesk/status/560468650688516096/photo/1,indices:[116,138],id_str:560468650193584128,display_url:pic.twitter.com/R2fGvuTver,type:photo,url:http://t.co/R2fGvuTver}],user_mentions:[]}",null,560468650688516096,"{media:[{id:560468650193584128,sizes:{thumb:{w:150,h:150,resize:crop},small:{w:340,h:225,resize:fit},medium:{w:600,h:398,resize:fit},large:{w:790,h:525,resize:fit}},media_url_https:https://pbs.twimg.com/media/B8cvRJKIAAA-1tq.png,media_url:http://pbs.twimg.com/media/B8cvRJKIAAA-1tq.png,expanded_url:http://twitter.com/ClimateDesk/status/560468650688516096/photo/1,indices:[116,138],id_str:560468650193584128,display_url:pic.twitter.com/R2fGvuTver,type:photo,url:http://t.co/R2fGvuTver}]}",null,<a href="http://www.hootsuite.com" rel="nofollow">Hootsuite</a>,false,null,null,Wed Jan 28 16:05:13 +0000 2015,8,3,560468650688516096,null,"{location:Earth,default_profile:false,statuses_count:10131,profile_background_tile:false,lang:en,profile_link_color:48C6D6,profile_banner_url:https://pbs.twimg.com/profile_banners/120181944/1406137011,id:120181944,following:true,favourites_count:51,profile_location:null,protected:false,profile_text_color:333333,description:A journalistic collaboration dedicated to exploring the impact\u2014human, environmental, economic, political\u2014of a changing climate.,verified:true,contributors_enabled:false,profile_sidebar_border_color:FFFFFF,name:Climate Desk,profile_background_color:006187,created_at:Fri Mar 05 18:22:03 +0000 2010,is_translation_enabled:false,default_profile_image:false,followers_count:70009,geo_enabled:true,profile_image_url_https:https://pbs.twimg.com/profile_images/1909077239/ClimateDesk_bug_500_normal.jpg,profile_background_image_url:http://abs.twimg.com/images/themes/theme1/bg.png,profile_background_image_url_https:https://abs.twimg.com/images/themes/theme1/bg.png,entities:{description:{urls:[]},url:{urls:[{expanded_url:http://www.climatedesk.org,indices:[0,22],display_url:climatedesk.org,url:http://t.co/dB8BpuJE4x}]}},follow_request_sent:false,url:http://t.co/dB8BpuJE4x,utc_offset:-28800,time_zone:Pacific Time (US & Canada),notifications:false,friends_count:726,profile_use_background_image:false,profile_sidebar_fill_color:DDEEF6,screen_name:ClimateDesk,id_str:120181944,profile_image_url:http://pbs.twimg.com/profile_images/1909077239/ClimateDesk_bug_500_normal.jpg,is_translator:false,listed_count:2822}",null
null,Congrats to our partners @guardian @guardianeco on worldwide rollout of the beautiful new http://t.co/xhyd8jFNHx http://t.co/wtJbIOECSJ,null,false,null,false,false,en,"{symbols:[],urls:[{expanded_url:http://theguardian.com,indices:[90,112],display_url:theguardian.com,url:http://t.co/xhyd8jFNHx},{expanded_url:http://gu.com/p/459xz/stw,indices:[113,135],display_url:gu.com/p/459xz/stw,url:http://t.co/wtJbIOECSJ}],hashtags:[],user_mentions:[{id:87818409,name:The Guardian,indices:[25,34],screen_name:guardian,id_str:87818409},{id:20582958,name:Guardian Environment,indices:[35,47],screen_name:guardianeco,id_str:20582958}]}",null,560480918335660034,,null,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,false,null,null,Wed Jan 28 16:53:58 +0000 2015,2,2,560480918335660034,null,"{location:Earth,default_profile:false,statuses_count:10131,profile_background_tile:false,lang:en,profile_link_color:48C6D6,profile_banner_url:https://pbs.twimg.com/profile_banners/120181944/1406137011,id:120181944,following:true,favourites_count:51,profile_location:null,protected:false,profile_text_color:333333,description:A journalistic collaboration dedicated to exploring the impact\u2014human, environmental, economic, political\u2014of a changing climate.,verified:true,contributors_enabled:false,profile_sidebar_border_color:FFFFFF,name:Climate Desk,profile_background_color:006187,created_at:Fri Mar 05 18:22:03 +0000 2010,is_translation_enabled:false,default_profile_image:false,followers_count:70009,geo_enabled:true,profile_image_url_https:https://pbs.twimg.com/profile_images/1909077239/ClimateDesk_bug_500_normal.jpg,profile_background_image_url:http://abs.twimg.com/images/themes/theme1/bg.png,profile_background_image_url_https:https://abs.twimg.com/images/themes/theme1/bg.png,entities:{description:{urls:[]},url:{urls:[{expanded_url:http://www.climatedesk.org,indices:[0,22],display_url:climatedesk.org,url:http://t.co/dB8BpuJE4x}]}},follow_request_sent:false,url:http://t.co/dB8BpuJE4x,utc_offset:-28800,time_zone:Pacific Time (US & Canada),notifications:false,friends_count:726,profile_use_background_image:false,profile_sidebar_fill_color:DDEEF6,screen_name:ClimateDesk,id_str:120181944,profile_image_url:http://pbs.twimg.com/profile_images/1909077239/ClimateDesk_bug_500_normal.jpg,is_translator:false,listed_count:2822}",null
null,"Something really, really terrible is about to happen to our coral http://t.co/44ERq6vPB3 http://t.co/A8sHA0c2MR",null,false,null,false,false,en,"{symbols:[],urls:[{expanded_url:http://ow.ly/I5N3q,indices:[66,88],display_url:ow.ly/I5N3q,url:http://t.co/44ERq6vPB3}],hashtags:[],media:[{id:560483725524205569,sizes:{thumb:{w:150,h:150,resize:crop},small:{w:340,h:152,resize:fit},medium:{w:600,h:269,resize:fit},large:{w:688,h:309,resize:fit}},media_url_https:https://pbs.twimg.com/media/B8c8-pJCAAEJpGO.png,media_url:http://pbs.twimg.com/media/B8c8-pJCAAEJpGO.png,expanded_url:http://twitter.com/ClimateDesk/status/560483726086643712/photo/1,indices:[89,111],id_str:560483725524205569,display_url:pic.twitter.com/A8sHA0c2MR,type:photo,url:http://t.co/A8sHA0c2MR}],user_mentions:[]}",null,560483726086643712,"{media:[{id:560483725524205569,sizes:{thumb:{w:150,h:150,resize:crop},small:{w:340,h:152,resize:fit},medium:{w:600,h:269,resize:fit},large:{w:688,h:309,resize:fit}},media_url_https:https://pbs.twimg.com/media/B8c8-pJCAAEJpGO.png,media_url:http://pbs.twimg.com/media/B8c8-pJCAAEJpGO.png,expanded_url:http://twitter.com/ClimateDesk/status/560483726086643712/photo/1,indices:[89,111],id_str:560483725524205569,display_url:pic.twitter.com/A8sHA0c2MR,type:photo,url:http://t.co/A8sHA0c2MR}]}",null,<a href="http://www.hootsuite.com" rel="nofollow">Hootsuite</a>,false,null,null,Wed Jan 28 17:05:08 +0000 2015,43,13,560483726086643712,null,"{location:Earth,default_profile:false,statuses_count:10131,profile_background_tile:false,lang:en,profile_link_color:48C6D6,profile_banner_url:https://pbs.twimg.com/profile_banners/120181944/1406137011,id:120181944,following:true,favourites_count:51,profile_location:null,protected:false,profile_text_color:333333,description:A journalistic collaboration dedicated to exploring the impact\u2014human, environmental, economic, political\u2014of a changing climate.,verified:true,contributors_enabled:false,profile_sidebar_border_color:FFFFFF,name:Climate Desk,profile_background_color:006187,created_at:Fri Mar 05 18:22:03 +0000 2010,is_translation_enabled:false,default_profile_image:false,followers_count:70009,geo_enabled:true,profile_image_url_https:https://pbs.twimg.com/profile_images/1909077239/ClimateDesk_bug_500_normal.jpg,profile_background_image_url:http://abs.twimg.com/images/themes/theme1/bg.png,profile_background_image_url_https:https://abs.twimg.com/images/themes/theme1/bg.png,entities:{description:{urls:[]},url:{urls:[{expanded_url:http://www.climatedesk.org,indices:[0,22],display_url:climatedesk.org,url:http://t.co/dB8BpuJE4x}]}},follow_request_sent:false,url:http://t.co/dB8BpuJE4x,utc_offset:-28800,time_zone:Pacific Time (US & Canada),notifications:false,friends_count:726,profile_use_background_image:false,profile_sidebar_fill_color:DDEEF6,screen_name:ClimateDesk,id_str:120181944,profile_image_url:http://pbs.twimg.com/profile_images/1909077239/ClimateDesk_bug_500_normal.jpg,is_translator:false,listed_count:2822}",null
null,19 tweets that explain how we¡¯re stifling electricity innovation http://t.co/8ekcRCBcQo via @grist,null,false,null,false,false,en,"{symbols:[],urls:[{expanded_url:http://ow.ly/I5NlZ,indices:[65,87],display_url:ow.ly/I5NlZ,url:http://t.co/8ekcRCBcQo}],hashtags:[],user_mentions:[{id:7215512,name:grist,indices:[92,98],screen_name:grist,id_str:7215512}]}",null,560498871345090560,,null,<a href="http://www.hootsuite.com" rel="nofollow">Hootsuite</a>,false,null,null,Wed Jan 28 18:05:19 +0000 2015,4,4,560498871345090560,null,"{location:Earth,default_profile:false,statuses_count:10131,profile_background_tile:false,lang:en,profile_link_color:48C6D6,profile_banner_url:https://pbs.twimg.com/profile_banners/120181944/1406137011,id:120181944,following:true,favourites_count:51,profile_location:null,protected:false,profile_text_color:333333,description:A journalistic collaboration dedicated to exploring the impact\u2014human, environmental, economic, political\u2014of a changing climate.,verified:true,contributors_enabled:false,profile_sidebar_border_color:FFFFFF,name:Climate Desk,profile_background_color:006187,created_at:Fri Mar 05 18:22:03 +0000 2010,is_translation_enabled:false,default_profile_image:false,followers_count:70006,geo_enabled:true,profile_image_url_https:https://pbs.twimg.com/profile_images/1909077239/ClimateDesk_bug_500_normal.jpg,profile_background_image_url:http://abs.twimg.com/images/themes/theme1/bg.png,profile_background_image_url_https:https://abs.twimg.com/images/themes/theme1/bg.png,entities:{description:{urls:[]},url:{urls:[{expanded_url:http://www.climatedesk.org,indices:[0,22],display_url:climatedesk.org,url:http://t.co/dB8BpuJE4x}]}},follow_request_sent:false,url:http://t.co/dB8BpuJE4x,utc_offset:-28800,time_zone:Pacific Time (US & Canada),notifications:false,friends_count:726,profile_use_background_image:false,profile_sidebar_fill_color:DDEEF6,screen_name:ClimateDesk,id_str:120181944,profile_image_url:http://pbs.twimg.com/profile_images/1909077239/ClimateDesk_bug_500_normal.jpg,is_translator:false,listed_count:2821}",null
null,Northeast Dems Revolt Against Obama's Proposed Atlantic Oil And Gas Lease Sale http://t.co/vpN57fkzkn via @HuffingtonPost,null,false,null,false,false,en,"{symbols:[],urls:[{expanded_url:http://ow.ly/I5Nvx,indices:[79,101],display_url:ow.ly/I5Nvx,url:http://t.co/vpN57fkzkn}],hashtags:[],user_mentions:[{id:14511951,name:Huffington Post,indices:[106,121],screen_name:HuffingtonPost,id_str:14511951}]}",null,560513985796390912,,null,<a href="http://www.hootsuite.com" rel="nofollow">Hootsuite</a>,false,null,null,Wed Jan 28 19:05:22 +0000 2015,4,4,560513985796390912,null,"{location:Earth,default_profile:false,statuses_count:10131,profile_background_tile:false,lang:en,profile_link_color:48C6D6,profile_banner_url:https://pbs.twimg.com/profile_banners/120181944/1406137011,id:120181944,following:true,favourites_count:51,profile_location:null,protected:false,profile_text_color:333333,description:A journalistic collaboration dedicated to exploring the impact\u2014human, environmental, economic, political\u2014of a changing climate.,verified:true,contributors_enabled:false,profile_sidebar_border_color:FFFFFF,name:Climate Desk,profile_background_color:006187,created_at:Fri Mar 05 18:22:03 +0000 2010,is_translation_enabled:false,default_profile_image:false,followers_count:70006,geo_enabled:true,profile_image_url_https:https://pbs.twimg.com/profile_images/1909077239/ClimateDesk_bug_500_normal.jpg,profile_background_image_url:http://abs.twimg.com/images/themes/theme1/bg.png,profile_background_image_url_https:https://abs.twimg.com/images/themes/theme1/bg.png,entities:{description:{urls:[]},url:{urls:[{expanded_url:http://www.climatedesk.org,indices:[0,22],display_url:climatedesk.org,url:http://t.co/dB8BpuJE4x}]}},follow_request_sent:false,url:http://t.co/dB8BpuJE4x,utc_offset:-28800,time_zone:Pacific Time (US & Canada),notifications:false,friends_count:726,profile_use_background_image:false,profile_sidebar_fill_color:DDEEF6,screen_name:ClimateDesk,id_str:120181944,profile_image_url:http://pbs.twimg.com/profile_images/1909077239/ClimateDesk_bug_500_normal.jpg,is_translator:false,listed_count:2821}",null
null,Here's how we know global warming made the blizzard worse http://t.co/65SLmIrn59 via @wired http://t.co/JqJBSUOq8e,null,false,null,false,false,en,"{symbols:[],urls:[{expanded_url:http://ow.ly/I5PQz,indices:[58,80],display_url:ow.ly/I5PQz,url:http://t.co/65SLmIrn59}],hashtags:[],media:[{id:560529052264824833,sizes:{small:{w:340,h:254,resize:fit},thumb:{w:150,h:150,resize:crop},medium:{w:600,h:449,resize:fit},large:{w:821,h:615,resize:fit}},media_url_https:https://pbs.twimg.com/media/B8dmNAaIAAEX1-o.png,media_url:http://pbs.twimg.com/media/B8dmNAaIAAEX1-o.png,expanded_url:http://twitter.com/ClimateDesk/status/560529052944302080/photo/1,indices:[92,114],id_str:560529052264824833,display_url:pic.twitter.com/JqJBSUOq8e,type:photo,url:http://t.co/JqJBSUOq8e}],user_mentions:[{id:1344951,name:WIRED,indices:[85,91],screen_name:WIRED,id_str:1344951}]}",null,560529052944302080,"{media:[{id:560529052264824833,sizes:{small:{w:340,h:254,resize:fit},thumb:{w:150,h:150,resize:crop},medium:{w:600,h:449,resize:fit},large:{w:821,h:615,resize:fit}},media_url_https:https://pbs.twimg.com/media/B8dmNAaIAAEX1-o.png,media_url:http://pbs.twimg.com/media/B8dmNAaIAAEX1-o.png,expanded_url:http://twitter.com/ClimateDesk/status/560529052944302080/photo/1,indices:[92,114],id_str:560529052264824833,display_url:pic.twitter.com/JqJBSUOq8e,type:photo,url:http://t.co/JqJBSUOq8e}]}",null,<a href="http://www.hootsuite.com" rel="nofollow">Hootsuite</a>,false,null,null,Wed Jan 28 20:05:15 +0000 2015,20,8,560529052944302080,null,"{location:Earth,default_profile:false,statuses_count:10131,profile_background_tile:false,lang:en,profile_link_color:48C6D6,profile_banner_url:https://pbs.twimg.com/profile_banners/120181944/1406137011,id:120181944,following:true,favourites_count:51,profile_location:null,protected:false,profile_text_color:333333,description:A journalistic collaboration dedicated to exploring the impact\u2014human, environmental, economic, political\u2014of a changing climate.,verified:true,contributors_enabled:false,profile_sidebar_border_color:FFFFFF,name:Climate Desk,profile_background_color:006187,created_at:Fri Mar 05 18:22:03 +0000 2010,is_translation_enabled:false,default_profile_image:false,followers_count:70006,geo_enabled:true,profile_image_url_https:https://pbs.twimg.com/profile_images/1909077239/ClimateDesk_bug_500_normal.jpg,profile_background_image_url:http://abs.twimg.com/images/themes/theme1/bg.png,profile_background_image_url_https:https://abs.twimg.com/images/themes/theme1/bg.png,entities:{description:{urls:[]},url:{urls:[{expanded_url:http://www.climatedesk.org,indices:[0,22],display_url:climatedesk.org,url:http://t.co/dB8BpuJE4x}]}},follow_request_sent:false,url:http://t.co/dB8BpuJE4x,utc_offset:-28800,time_zone:Pacific Time (US & Canada),notifications:false,friends_count:726,profile_use_background_image:false,profile_sidebar_fill_color:DDEEF6,screen_name:ClimateDesk,id_str:120181944,profile_image_url:http://pbs.twimg.com/profile_images/1909077239/ClimateDesk_bug_500_normal.jpg,is_translator:false,listed_count:2821}",null
null,Bill Nye: It's time for you to "give a fuck" about climate change http://t.co/GAPL06MGVF http://t.co/esKZF2nevc,null,false,null,false,false,en,"{symbols:[],urls:[{expanded_url:http://ow.ly/I9GGs,indices:[66,88],display_url:ow.ly/I9GGs,url:http://t.co/GAPL06MGVF}],hashtags:[],media:[{id:560818879899770880,sizes:{thumb:{w:150,h:150,resize:crop},small:{w:340,h:191,resize:fit},large:{w:630,h:354,resize:fit},medium:{w:600,h:337,resize:fit}},media_url_https:https://pbs.twimg.com/media/B8htzMfCIAAsZGY.jpg,media_url:http://pbs.twimg.com/media/B8htzMfCIAAsZGY.jpg,expanded_url:http://twitter.com/ClimateDesk/status/560818880445440000/photo/1,indices:[89,111],id_str:560818879899770880,display_url:pic.twitter.com/esKZF2nevc,type:photo,url:http://t.co/esKZF2nevc}],user_mentions:[]}",null,560818880445440000,"{media:[{id:560818879899770880,sizes:{thumb:{w:150,h:150,resize:crop},small:{w:340,h:191,resize:fit},large:{w:630,h:354,resize:fit},medium:{w:600,h:337,resize:fit}},media_url_https:https://pbs.twimg.com/media/B8htzMfCIAAsZGY.jpg,media_url:http://pbs.twimg.com/media/B8htzMfCIAAsZGY.jpg,expanded_url:http://twitter.com/ClimateDesk/status/560818880445440000/photo/1,indices:[89,111],id_str:560818879899770880,display_url:pic.twitter.com/esKZF2nevc,type:photo,url:http://t.co/esKZF2nevc}]}",null,<a href="http://www.hootsuite.com" rel="nofollow">Hootsuite</a>,false,null,null,Thu Jan 29 15:16:55 +0000 2015,51,42,560818880445440000,null,"{location:Earth,default_profile:false,statuses_count:10131,profile_background_tile:false,lang:en,profile_link_color:48C6D6,profile_banner_url:https://pbs.twimg.com/profile_banners/120181944/1406137011,id:120181944,following:true,favourites_count:51,profile_location:null,protected:false,profile_text_color:333333,description:A journalistic collaboration dedicated to exploring the impact\u2014human, environmental, economic, political\u2014of a changing climate.,verified:true,contributors_enabled:false,profile_sidebar_border_color:FFFFFF,name:Climate Desk,profile_background_color:006187,created_at:Fri Mar 05 18:22:03 +0000 2010,is_translation_enabled:false,default_profile_image:false,followers_count:70012,geo_enabled:true,profile_image_url_https:https://pbs.twimg.com/profile_images/1909077239/ClimateDesk_bug_500_normal.jpg,profile_background_image_url:http://abs.twimg.com/images/themes/theme1/bg.png,profile_background_image_url_https:https://abs.twimg.com/images/themes/theme1/bg.png,entities:{description:{urls:[]},url:{urls:[{expanded_url:http://www.climatedesk.org,indices:[0,22],display_url:climatedesk.org,url:http://t.co/dB8BpuJE4x}]}},follow_request_sent:false,url:http://t.co/dB8BpuJE4x,utc_offset:-28800,time_zone:Pacific Time (US & Canada),notifications:false,friends_count:726,profile_use_background_image:false,profile_sidebar_fill_color:DDEEF6,screen_name:ClimateDesk,id_str:120181944,profile_image_url:http://pbs.twimg.com/profile_images/1909077239/ClimateDesk_bug_500_normal.jpg,is_translator:false,listed_count:2822}",null
null,"Don't freak out, cheap oil isn't going to kill off renewables. http://t.co/H3TlS5znIs http://t.co/rftlL1f1cL",null,false,null,false,false,en,"{symbols:[],urls:[{expanded_url:http://ow.ly/I9H6F,indices:[63,85],display_url:ow.ly/I9H6F,url:http://t.co/H3TlS5znIs}],hashtags:[],media:[{id:560822504617689088,sizes:{small:{w:340,h:204,resize:fit},thumb:{w:150,h:150,resize:crop},large:{w:620,h:372,resize:fit},medium:{w:600,h:360,resize:fit}},media_url_https:https://pbs.twimg.com/media/B8hxGLnIQAAjAXU.jpg,media_url:http://pbs.twimg.com/media/B8hxGLnIQAAjAXU.jpg,expanded_url:http://twitter.com/ClimateDesk/status/560822505125191680/photo/1,indices:[86,108],id_str:560822504617689088,display_url:pic.twitter.com/rftlL1f1cL,type:photo,url:http://t.co/rftlL1f1cL}],user_mentions:[]}",null,560822505125191680,"{media:[{id:560822504617689088,sizes:{small:{w:340,h:204,resize:fit},thumb:{w:150,h:150,resize:crop},large:{w:620,h:372,resize:fit},medium:{w:600,h:360,resize:fit}},media_url_https:https://pbs.twimg.com/media/B8hxGLnIQAAjAXU.jpg,media_url:http://pbs.twimg.com/media/B8hxGLnIQAAjAXU.jpg,expanded_url:http://twitter.com/ClimateDesk/status/560822505125191680/photo/1,indices:[86,108],id_str:560822504617689088,display_url:pic.twitter.com/rftlL1f1cL,type:photo,url:http://t.co/rftlL1f1cL}]}",null,<a href="http://www.hootsuite.com" rel="nofollow">Hootsuite</a>,false,null,null,Thu Jan 29 15:31:19 +0000 2015,19,10,560822505125191680,null,"{location:Earth,default_profile:false,statuses_count:10131,profile_background_tile:false,lang:en,profile_link_color:48C6D6,profile_banner_url:https://pbs.twimg.com/profile_banners/120181944/1406137011,id:120181944,following:true,favourites_count:51,profile_location:null,protected:false,profile_text_color:333333,description:A journalistic collaboration dedicated to exploring the impact\u2014human, environmental, economic, political\u2014of a changing climate.,verified:true,contributors_enabled:false,profile_sidebar_border_color:FFFFFF,name:Climate Desk,profile_background_color:006187,created_at:Fri Mar 05 18:22:03 +0000 2010,is_translation_enabled:false,default_profile_image:false,followers_count:70012,geo_enabled:true,profile_image_url_https:https://pbs.twimg.com/profile_images/1909077239/ClimateDesk_bug_500_normal.jpg,profile_background_image_url:http://abs.twimg.com/images/themes/theme1/bg.png,profile_background_image_url_https:https://abs.twimg.com/images/themes/theme1/bg.png,entities:{description:{urls:[]},url:{urls:[{expanded_url:http://www.climatedesk.org,indices:[0,22],display_url:climatedesk.org,url:http://t.co/dB8BpuJE4x}]}},follow_request_sent:false,url:http://t.co/dB8BpuJE4x,utc_offset:-28800,time_zone:Pacific Time (US & Canada),notifications:false,friends_count:726,profile_use_background_image:false,profile_sidebar_fill_color:DDEEF6,screen_name:ClimateDesk,id_str:120181944,profile_image_url:http://pbs.twimg.com/profile_images/1909077239/ClimateDesk_bug_500_normal.jpg,is_translator:false,listed_count:2822}",null
null,The top US climate hawk is headed to the Vatican for help http://t.co/QQvtFJnNbn http://t.co/8BAn7Fl7pT,null,false,null,false,false,en,"{symbols:[],urls:[{expanded_url:http://ow.ly/I9HWE,indices:[58,80],display_url:ow.ly/I9HWE,url:http://t.co/QQvtFJnNbn}],hashtags:[],media:[{id:560829881357844481,sizes:{thumb:{w:150,h:150,resize:crop},small:{w:340,h:190,resize:fit},medium:{w:600,h:336,resize:fit},large:{w:1024,h:575,resize:fit}},media_url_https:https://pbs.twimg.com/media/B8h3zkHCQAEyKQB.jpg,media_url:http://pbs.twimg.com/media/B8h3zkHCQAEyKQB.jpg,expanded_url:http://twitter.com/ClimateDesk/status/560829882025119745/photo/1,indices:[81,103],id_str:560829881357844481,display_url:pic.twitter.com/8BAn7Fl7pT,type:photo,url:http://t.co/8BAn7Fl7pT}],user_mentions:[]}",null,560829882025119745,"{media:[{id:560829881357844481,sizes:{thumb:{w:150,h:150,resize:crop},small:{w:340,h:190,resize:fit},medium:{w:600,h:336,resize:fit},large:{w:1024,h:575,resize:fit}},media_url_https:https://pbs.twimg.com/media/B8h3zkHCQAEyKQB.jpg,media_url:http://pbs.twimg.com/media/B8h3zkHCQAEyKQB.jpg,expanded_url:http://twitter.com/ClimateDesk/status/560829882025119745/photo/1,indices:[81,103],id_str:560829881357844481,display_url:pic.twitter.com/8BAn7Fl7pT,type:photo,url:http://t.co/8BAn7Fl7pT}]}",null,<a href="http://www.hootsuite.com" rel="nofollow">Hootsuite</a>,false,null,null,Thu Jan 29 16:00:38 +0000 2015,10,9,560829882025119745,null,"{location:Earth,default_profile:false,statuses_count:10131,profile_background_tile:false,lang:en,profile_link_color:48C6D6,profile_banner_url:https://pbs.twimg.com/profile_banners/120181944/1406137011,id:120181944,following:true,favourites_count:51,profile_location:null,protected:false,profile_text_color:333333,description:A journalistic collaboration dedicated to exploring the impact\u2014human, environmental, economic, political\u2014of a changing climate.,verified:true,contributors_enabled:false,profile_sidebar_border_color:FFFFFF,name:Climate Desk,profile_background_color:006187,created_at:Fri Mar 05 18:22:03 +0000 2010,is_translation_enabled:false,default_profile_image:false,followers_count:70012,geo_enabled:true,profile_image_url_https:https://pbs.twimg.com/profile_images/1909077239/ClimateDesk_bug_500_normal.jpg,profile_background_image_url:http://abs.twimg.com/images/themes/theme1/bg.png,profile_background_image_url_https:https://abs.twimg.com/images/themes/theme1/bg.png,entities:{description:{urls:[]},url:{urls:[{expanded_url:http://www.climatedesk.org,indices:[0,22],display_url:climatedesk.org,url:http://t.co/dB8BpuJE4x}]}},follow_request_sent:false,url:http://t.co/dB8BpuJE4x,utc_offset:-28800,time_zone:Pacific Time (US & Canada),notifications:false,friends_count:726,profile_use_background_image:false,profile_sidebar_fill_color:DDEEF6,screen_name:ClimateDesk,id_str:120181944,profile_image_url:http://pbs.twimg.com/profile_images/1909077239/ClimateDesk_bug_500_normal.jpg,is_translator:false,listed_count:2822}",null
